id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
198414414,Puerto Valle,https://www.puertovalle.com.ar/,,Argentina,-27.6063257,-56.4348929
198422157,Cabañas San Miguel,http://cabanasanmiguel.blogspot.com.ar/,Chilecito,Argentina,-29.1848787,-67.4768834
198429319,Termas de Reyes,,,Argentina,-24.1710847,-65.4891749
198449943,Establecimiento Las Costas,,,Argentina,-24.7719173,-65.4951507
272171447,Portal del Sol,,,Argentina,-31.4251727,-64.4939458
283348556,Dorá,https://www.hoteldora.com.ar/,,Argentina,-38.0031508,-57.5429812
285071699,Astor,,,Argentina,-38.0008513,-57.5427286
325723349,Hotel Magal,,América,Argentina,-35.4881931,-62.9820673
325723428,Txoko Maite,,América,Argentina,-35.4905508,-62.9793986
336081308,El Pilar,https://www.hosteriaelpilar.com.ar/,,Argentina,-49.2359351,-72.9329027
422301656,Hosteria Cuesta El Portezuelo,,Cerro Ancasti,Argentina,-28.4892567,-65.6062107
422969997,Hotel Colonial,,San Fernando del Valle de Catamarca,Argentina,-28.4678343,-65.7752828
422970000,Hotel Shincal,,,Argentina,-28.4748519,-65.7735503
424218810,Hotel Casino Catamarca,https://www.hotelcasinocatamarca.com,San Fernando del Valle de Catamarca,Argentina,-28.467623,-65.7850008
424406832,Los Lapachos,www.posadadeloslapachos.com.ar,Gobernador Ingeniero Valentín Virasoro,Argentina,-28.0545949,-56.0217395
424416835,Hotel Ardais,,,Argentina,-28.048434,-56.0133346
424417889,Hotel Casino,,Gobernador Virasoro,Argentina,-28.0519427,-56.0139029
424446691,A.C.A.,,Santo Tomé,Argentina,-28.5432257,-56.0333186
430945068,Hostal Argentina,,,Argentina,39.4675013,-6.3818973
441159251,Hotel Famaillá,,Famaillá,Argentina,-27.0539653,-65.402748
454517417,Alvear Palace Hotel,,Ciudad Autónoma de Buenos Aires,Argentina,-34.5877471,-58.3887383
456247958,Hotel Dior,,,Argentina,-37.3278678,-59.135725
457014295,Hotel Benidorm,,Rosario,Argentina,-32.9504104,-60.6383151
457014296,Hotel Plaza,,Rosario,Argentina,-32.9494301,-60.6382994
