id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
561047825,Hotel Milton,,,Bolivia,-16.4998901,-68.1387607
806680609,Ecoturístico,,,Bolivia,-17.3627826,-66.134725
813642050,Hotel Municipal,,,Bolivia,-17.735421,-65.1919675
819934878,Hotel Victoria,,Mizque,Bolivia,-17.9434065,-65.3418492
819934925,Hotel Bolivia,,Mizque,Bolivia,-17.9436003,-65.3389117
826490511,Hotel Cristal Samaña,,Colchani,Bolivia,-20.3114979,-66.9724295
827514522,Colonial,,Potosí,Bolivia,-19.5889848,-65.7524257
827515276,Hotel Compañia de Jesús,,Potosí,Bolivia,-19.5901496,-65.7528495
827515553,Libertador,,,Bolivia,-19.5907403,-65.7517723
829049775,Salón Colonial,,,Bolivia,-17.6099306,-66.0223171
829182745,Alojamiento Municipal,,Tarata,Bolivia,-17.6094158,-66.0265787
836752678,Hotel Banana Tropic,,Villa Tunari,Bolivia,-16.9983248,-65.4372251
836752710,Hotel Marabú,,Villa Tunari,Bolivia,-16.9794032,-65.4269384
836764245,Hotel Los Tucanes,,Agrigento A,Bolivia,-16.9728132,-65.3964466
836765985,Hotel San Martin,,Villa Tunari,Bolivia,-16.9746155,-65.4183913
836799077,Hotel Bibosi,,,Bolivia,-16.9715297,-65.419837
836799094,Residencial San Silvestre,,Villa Tunari,Bolivia,-16.9748526,-65.4185497
846159986,Hotel Palla Khasa,,,Bolivia,-16.0334832,-69.1557479
846160085,,,,Bolivia,-15.9976569,-69.182711
846160538,,,,Bolivia,-15.9971254,-69.1832644
846160896,,,,Bolivia,-15.9970945,-69.1832478
846161317,Posada del Inca Ecolodge,,,Bolivia,-16.0369359,-69.1463768
846163586,Tiquina Palace,,,Bolivia,-16.4941657,-68.1377145
846182306,Hotel Perla del Lago,,Copacabana,Bolivia,-16.1645328,-69.0869079
846225618,Hotel Utama,,,Bolivia,-16.1638358,-69.0886387
846225628,Hostal Las Kantutas,,,Bolivia,-16.1646619,-69.0872107
846387028,Hostal Leyenda,,,Bolivia,-16.1659599,-69.089612
846387039,Hostal 6 de Agosto,,Copacabana,Bolivia,-16.1654507,-69.088543
846387046,Hotel Mirador,,,Bolivia,-16.1663108,-69.0895573
846387118,Hotel Chasqui del Sol,,,Bolivia,-16.1676019,-69.089887
846387150,Hostal Colonial,,,Bolivia,-16.1657549,-69.0882415
846387208,Hostal Los Andes,,,Bolivia,-16.1663534,-69.0889267
846408190,Hostal Center,,,Bolivia,-16.1656786,-69.087619
846408202,Hostel La Academia,,,Bolivia,-16.1655528,-69.0872027
846440861,Hostal Pacha,,,Bolivia,-16.1658913,-69.087498
846440862,Hotel Ambasador,,,Bolivia,-16.164549,-69.0877343
