id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
253251479,Hotel Summerville,,,Brasil,-8.4354287,-34.9809079
253251551,Marupiara,,,Brasil,-8.4312949,-34.9814223
253251562,Nannai Resort & Spa,,,Brasil,-8.4325399,-34.9805186
253271848,Portal Atlantico,,,Brasil,-8.4775277,-34.9989292
253406764,Praia do Futuro,,,Brasil,-3.7327552,-38.4583392
259796163,Solar do Caeté,,,Brasil,-1.0572828,-46.7624438
259796165,Hotel Aruans,,,Brasil,-1.0565336,-46.7633948
259796166,Hotel Delta,,,Brasil,-1.0573283,-46.7642715
259796167,Bragança Palace Hotel,,,Brasil,-1.0549047,-46.7650211
259796169,Marujo's Suite Hotel,,,Brasil,-1.0559409,-46.7675526
259796170,Hotel Millenyum,,,Brasil,-1.0591565,-46.7682986
260585942,Lucian Apart Hotel,,,Brasil,-1.0581674,-46.7658589
270342692,Ibis,,Curitiba,Brasil,-25.4244592,-49.2711819
282383817,Grande Hotel Minas Gerais,,Guaçuí,Brasil,-20.7729961,-41.6768349
297295195,Hotel e Restaurante Moura,,,Brasil,-1.1560058,-46.3537058
311245596,Pousada e Restaurante Vista Linda,,Domingos Martins,Brasil,-20.3818899,-40.6052022
315623285,,,,Brasil,-20.8413218,-41.1230427
320548710,Lord Hotel,,,Brasil,-2.5288192,-44.3045866
321706825,Pousada Lapa Grande,,,Brasil,-19.3487864,-43.6411433
322322649,Pousada Varandas da Serra,,,Brasil,-19.3207149,-43.6099317
322323100,Pousada Entre Folhas,,,Brasil,-19.3215874,-43.6117285
322323159,Pouso Cipó,,,Brasil,-19.3236384,-43.6135738
322323185,Pousada Villa Verde Chalés,,,Brasil,-19.3284606,-43.6158838
322323326,Pousada Ecobamboo,,,Brasil,-19.3307563,-43.6193149
322535317,Pousada Vilarejo da Serra,,,Brasil,-19.3203462,-43.6098095
322535352,Pousada Fazenda do Engenho,,,Brasil,-19.3387484,-43.6077927
322535806,Pousada Renascer,,,Brasil,-19.3361897,-43.6222754
322535809,Pousada Village da Serra,,,Brasil,-19.331857,-43.6193657
322536311,Pousada Mangueira,,,Brasil,-19.333052,-43.6214535
322536323,Pousada Recanto da Serra,,,Brasil,-19.3339815,-43.6209962
322536598,Pousada Bela Vista,,,Brasil,-19.3376463,-43.6323557
322551701,Pousada Adega Cipó,,,Brasil,-19.3371586,-43.6264022
322551702,Pousada Jardim de Minas,,,Brasil,-19.3365533,-43.6282313
322551708,Pousada do Matuto,,,Brasil,-19.337074,-43.6296164
322551727,Pousada Aconchego,,,Brasil,-19.3378643,-43.6298225
322551742,Pousada das Flores Piedade,,,Brasil,-19.3361107,-43.6245207
322551746,Pousada Estalagem da Serra,,,Brasil,-19.3364293,-43.6236028
322551879,Pousada Canto das Águas,,,Brasil,-19.3415072,-43.6397065
322551888,Pousada Pôr do Sol,,,Brasil,-19.3432129,-43.6404424
322551896,Pousada da Serra,,,Brasil,-19.3434639,-43.6399404
322551898,Pousada Solar dos Ipês,,,Brasil,-19.3436236,-43.6410756
322551904,Cipó Veraneio Hotel,,,Brasil,-19.3451154,-43.6433603
322551908,Pousada Canto Verde,,,Brasil,-19.3452038,-43.6438652
322765863,Hotel Fagundes Varela,,,Brasil,-22.8999684,-43.1143159
331954898,,,,Brasil,-22.9643453,-43.1770607
331956610,Royal Rio Palace Hotel,https://royalrio.com.br/,Rio de Janeiro,Brasil,-22.964337,-43.1784874
332786802,Pousada Recanto dos Coqueiros,,,Brasil,-19.3283816,-43.6175093
332786804,Pousada Chão da Serra,,,Brasil,-19.3196777,-43.6087494
332786846,Pousada das Pedras,,,Brasil,-19.3177364,-43.6078844
340473485,Hotel Riazor,,,Brasil,-22.9262485,-43.1767661
349252748,Pousada dos Cocais,,,Brasil,-19.9242148,-40.111301
379790719,Hotel Sagres,https://www.hotelsagres.com/,,Brasil,-1.4481815,-48.4677556
412310724,Copacabana Praia Hotel,,Rio de Janeiro,Brasil,-22.9869257,-43.1899271
415419662,Hotel Aconchego,https://www.hotelaconchegosc.com.br/,Urubici,Brasil,-27.9919058,-49.5819807
416653243,Jardim do Ouro,,,Brasil,-6.2553459,-55.771089
416654175,Pousada Borboleta,,,Brasil,-4.5252266,-37.7053579
422345144,Hotel Nova Era,,,Brasil,-1.0592404,-46.7682816
429667838,Hotel Praia do Sol,,,Brasil,-14.8188251,-39.0258871
431013589,Windsor Florida Hotel,,Rio de Janeiro,Brasil,-22.9271554,-43.1761669
431750143,Hotel Oásis do Catete,,,Brasil,-22.9225252,-43.1773209
445662664,,,,Brasil,-23.4968915,-46.8480735
445662683,,,,Brasil,-23.4925528,-46.8476979
450195952,Fazenda São Gerônimo,,,Brasil,-0.6911978,-48.4983098
450645615,Pousada dos Guarás,,,Brasil,-0.7700551,-48.5124439
450799276,Hotel Galícia,https://www.hotelgalicia.com.br/,Rio de Janeiro,Brasil,-22.9106615,-43.1872932
452657821,Riale Imperial Flamengo,,Rio de Janeiro,Brasil,-22.9273152,-43.1768644
452657840,Vitória,,Rio de Janeiro,Brasil,-22.9264561,-43.176775
460154758,Hotel Parque Balneário,,,Brasil,-23.9690536,-46.3327006
479091125,Motel Emoção,,,Brasil,-22.8798828,-43.3547239
482734199,Piramide,,,Brasil,-24.5232485,-48.1088989
482736038,Rial,,,Brasil,-24.1804858,-46.7853338
486883738,Hotel Pousada da Colina,,,Brasil,-21.7065818,-47.4818674
493041520,San Siro,,,Brasil,-22.0105731,-47.8890936
496296767,Motel Las Vegas,,,Brasil,-23.5027685,-47.4121176
501852696,Comfort Suites,https://www.atlanticahotels.com.br/,,Brasil,-22.4078012,-41.8023079
502762270,,,,Brasil,-5.8206127,-35.2384034
502762276,,,,Brasil,-5.821648,-35.2331174
502863752,Guanabara Palace Hotel,,,Brasil,-22.9010321,-43.1795544
504459657,Pousada Casa das Flores,,,Brasil,-14.1762751,-47.8148154
505534675,Mercure,,Belo Horizonte,Brasil,-19.9374978,-43.945012
507684840,Hotel Novo Mundo,,Rio de Janeiro,Brasil,-22.9252036,-43.1732739
512847984,Hotel La Costa,,,Brasil,-22.9142993,-43.1826263
512852947,Love Time Hotel,,,Brasil,-22.9220847,-43.1765722
512854718,Hotel Shalimar,,,Brasil,-22.9948706,-43.2349661
512858216,Motel Sinless,,,Brasil,-22.9948114,-43.234832
512860156,Elegance,,Rio de Janeiro,Brasil,-22.928362,-43.1747683
512865324,Escort Motel,,,Brasil,-22.9930668,-43.2558231
512867289,Nosso Hotel,,,Brasil,-22.9947421,-43.2347354
512869193,Challon Motel,,,Brasil,-22.9208354,-43.1806023
512871642,Diamond Hotel,,,Brasil,-22.9175068,-43.1773673
512873877,Hotel Barão do Flamengo,,,Brasil,-22.9328109,-43.1766602
512887703,Hotel Serrano,,,Brasil,-22.9308802,-43.1804064
512889445,Hotel Pedro Américo,,,Brasil,-22.9244917,-43.1785727
518611821,Hotel Danúbio,,Belém,Brasil,-1.4486694,-48.4651975
527082940,Hotel Inglês,http://www.hotelingles.com.br/,Rio de Janeiro,Brasil,-22.9253222,-43.1736816
529748996,Atlântico Copacabana,,Rio de Janeiro,Brasil,-22.9667761,-43.1862122
529749005,Apa Hotel,,,Brasil,-22.9665351,-43.1829688
529749016,Ibiza Copacabana Hotel,,,Brasil,-22.9632989,-43.1762731
529749019,Hotel Porto Bay Rio Internacional,,,Brasil,-22.9663889,-43.1770799
529749023,Best Western Augusto's Rio Copa Hotel,https://www.bestwestern.com.br/,Rio de Janeiro,Brasil,-22.9616093,-43.1748641
529749029,Windsor Hotel Leme,,Rio de Janeiro,Brasil,-22.9631073,-43.1696988
529749030,Acapulco Copacabana Hotel,http://www.acapulcohotel.com.br/,Rio de Janeiro,Brasil,-22.964082,-43.1732446
529749032,Real Residence Hotel,,,Brasil,-22.9607149,-43.1749285
529749037,Novotel Leme,https://all.accor.com/hotel/B205/index.en.shtml,Rio de Janeiro,Brasil,-22.9620932,-43.1685341
530816188,,,,Brasil,-15.8602134,-48.9561094
530816190,,,,Brasil,-15.8642837,-48.952865
530907349,Casarão de Pedra,,,Brasil,-14.1812609,-39.3177438
534252248,Pousada Carolina,,,Brasil,-23.8114115,-45.3632778
