id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
252528804,Le Meridien Hotel,https://www.marriott.com/es/hotels/sclhp-le-meridien-santiago/overview/,Santiago,Chile,-33.438441,-70.6369183
252983799,Sheraton San Cristobal,,,Chile,-33.422239,-70.6207779
280813433,Hotel Portillo,,,Chile,-32.8351967,-70.1297613
290057441,Hotel Valle Nevado,,,Chile,-33.3532851,-70.2485457
291684145,Refugio Escuela de Alta Montaña - Ejercito de Chile,,,Chile,-32.845877,-70.1289385
298973459,NH Collection Hotels,,Las Condes,Chile,-33.4165667,-70.6049608
307907344,Tatio,,,Chile,-23.6652099,-70.4042697
311293399,Hotel Mediterráneo,,,Chile,-33.0182285,-71.5511711
311431245,La Araucana - Jamon Pan y Vino,http://www.paradorjamonpanyvino.cl/,,Chile,-36.9104966,-71.4812566
313102056,Hotel Gala,,,Chile,-33.0224238,-71.5584846
317917047,Refugio Vertice Paine Grande,,,Chile,-51.0726521,-73.0937822
317917150,Andenrose,,,Chile,-38.4646853,-71.7628181
321694484,La Joya del Mar,,,Chile,-36.0778249,-72.7926978
327831870,Hotel Isabel Riquelme,,,Chile,-36.6075597,-72.1032097
336982048,Hotel Casa Higueras,https://www.hotelcasahigueras.cl/,Valparaíso,Chile,-33.0406733,-71.6306422
336982270,Zero Hotel,,,Chile,-33.0420528,-71.6298427
336982971,Hotel Casa Thomas Somerscales,,,Chile,-33.0432474,-71.6299975
339946864,,,,Chile,-20.2158824,-70.1501161
355350350,Hotel Termas de Puyehue,,,Chile,-40.7117682,-72.3284966
363402771,Bellavista,,Puerto Varas,Chile,-41.3190786,-72.9805244
369884354,Albamar,,,Chile,-33.0170616,-71.5581189
373489716,Hotel Plaza San Francisco,https://www.plazasanfrancisco.cl/,Santiago,Chile,-33.4436981,-70.6483016
388443693,Puyuhuapi Lodge & Spa,,,Chile,-44.4137346,-72.6458648
396584090,El Pangue,http://www.elpangue.com,Puyuhuapi,Chile,-44.1929958,-72.4909355
450010786,Hotel Volkanico,https://hotelvolkanico.com/,,Chile,-38.4391429,-71.8876465
460311240,Hotel Tierra del Fuego,,,Chile,-53.1598085,-70.9059309
461515632,Best Western Hotel Finis Terrae,http://bestwestern.worldexecutive.com/locations/chile/punta_arenas/73844.html,Punta Arenas,Chile,-53.1601511,-70.9049598
470328567,Andes Hostel,,,Chile,-33.4367839,-70.6445287
470328574,Apart Hotel Bellas Artes,,,Chile,-33.4373696,-70.6441589
470354998,Hotel Diego de Almagro,,Santiago,Chile,-33.4447623,-70.6571593
470355001,Hotel Galerias,http://www.hotelgalerias.cl,Santiago,Chile,-33.4418787,-70.6476545
475497771,Principado de Asturias,,,Chile,-33.4386167,-70.6332844
516315486,Hotel Las Torres,https://www.lastorres.com/,,Chile,-50.9731597,-72.8749759
529776701,Hotel Di Torlaschi,,Valdivia,Chile,-39.8181163,-73.2467884
569673569,Posada de la Maillen,,,Chile,-41.5555797,-72.9990603
577499511,Imperio Suites,,,Chile,-33.4501637,-70.6735089
584243447,Los Españoles,,,Chile,-33.417019,-70.609715
590657817,Cirilo Armstrong,,,Chile,-33.0445699,-71.6294317
598002395,Hotel Guayacán,,,Chile,-33.6178079,-70.3497924
598043009,Hotel Acacias de Vitacura,,,Chile,-33.3789853,-70.5404518
602386337,Hotel Mar y Vino,https://www.maryvino.cl/,Pichilemu,Chile,-34.3859086,-72.0042979
607611185,Asthur,,,Chile,-34.3878725,-72.0020692
607611191,Rocas del Pacífico,,,Chile,-34.3861143,-72.004636
607611198,Ducal,,,Chile,-34.3871049,-72.0058425
611619761,Terra Luna Lodge,https://terraluna.cl/,Puerto Guadal,Chile,-46.8392253,-72.6910775
618835283,Hotel Las Terrazas,,Chillán,Chile,-36.6075304,-72.1021586
634627376,Aranjuez,,,Chile,-36.6046398,-72.103936
635940903,Hotel Iloca,,,Chile,-34.942119,-72.1866296
635940917,"Hosteria ""Don Gilberto""",,,Chile,-34.8870101,-72.1696346
639886709,Weskar Lodge,,,Chile,-51.7133574,-72.5055387
644627281,Hotel Explora Patagonia,,,Chile,-51.1162281,-72.9915506
647122749,Hotel Cantamar,,Viña del Mar,Chile,-33.017796,-71.556377
663047750,Hotel Las Flores,,Providencia,Chile,-33.4315402,-70.6164922
667192630,Santa Cruz Plaza,https://www.hotelsantacruzplaza.cl/,,Chile,-34.6401964,-71.365531
673025706,Chilhotel,,Providencia,Chile,-33.4268787,-70.6184747
673025718,De Blasis B&B,,Providencia,Chile,-33.4264489,-70.6196388
677236449,Posada del Salvador,https://www.posadadelsalvador.cl/,Providencia,Chile,-33.4334437,-70.6236694
680571069,Macasi,,,Chile,-33.0260574,-71.5630299
693145869,Hotel Chapital,,,Chile,-53.1603784,-70.9112815
693176930,La Fayette,,Providencia,Chile,-33.4238819,-70.6114831
693191204,El Monasterio,,,Chile,-32.8258386,-70.687873
700728943,Hotel Marina Las Condes,,Las Condes,Chile,-33.4077241,-70.5710515
703003266,Capri,,,Chile,-32.8183714,-71.2249605
704987931,Apart Hotel Bosque Tobalaba,,Providencia,Chile,-33.4183774,-70.6028205
704988036,Time Suites & Apartments Ch,,Las Condes,Chile,-33.4191659,-70.5977735
737144232,Meridiano Sur Petit Hotel,,Providencia,Chile,-33.4259317,-70.6192237
737152384,Hotel Alcala del Rio,,Providencia,Chile,-33.4238856,-70.6180543
774688084,Hotel Del Paine,https://www.hoteldelpaine.com/,,Chile,-51.2345919,-72.9729716
794293704,Hotel Glaciares,,,Chile,-51.7274157,-72.511619
837480825,Hotel Fundador,,,Chile,-33.44454,-70.64922
846537347,Montecarlo,,,Chile,-34.3872005,-72.0056664
847991718,Gran Hotel Calbuco,,Calbuco,Chile,-41.7675097,-73.1305795
888018650,Hotel Don Eduardo,,Temuco,Chile,-38.7412413,-72.5917704
890540215,Tupahue,,,Chile,-33.4371911,-70.6482936
891117403,Holiday Inn Express Iquique,,Iquique,Chile,-20.2400191,-70.1457225
941446486,Residencial Europa,,,Chile,-33.5466736,-71.6057497
941668237,Hotel Regata,,,Chile,-32.1375214,-71.5286889
941788970,Cabañas del Sol,,,Chile,-32.139009,-71.5161306
958196355,Cabañas Azul,,,Chile,-32.640236,-71.4297344
958857865,Hotel Carande,,Papudo,Chile,-32.506983,-71.4472267
958987411,Hotel Tongoy,,,Chile,-30.2546721,-71.5025088
958990595,Tambo,,,Chile,-30.2538897,-71.4986853
958990597,Hotel Panorámico,,,Chile,-30.2552513,-71.5007492
958990598,Cabañas Tongoy,,,Chile,-30.2512061,-71.4970961
959916860,Hotel Alonso de Ercilla,,,Chile,-36.8274195,-73.0475005
959924703,Hotel Bogarin,,,Chile,-31.7823614,-70.9638621
960788407,Hotel del Volcan,,Pucón,Chile,-39.2770208,-71.976026
966044578,Cabañas Villa Los Encinos,,,Chile,-39.6385375,-72.32505
966044579,Cabañas Mirador,,,Chile,-39.6392315,-72.3252646
976012635,Norte Grande,,,Chile,-18.4777011,-70.317344
976145327,Panamericana Hotel Providencia,,Providencia,Chile,-33.4229631,-70.6141139
979074525,Loncoche,,,Chile,-39.3677227,-72.6234334
