id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
280157359,Hotel San Gabriel,,,Colombia,4.7805087,-74.7639099
289403678,,,,Colombia,3.7172001,-74.8864501
290564779,Casa Morales,,,Colombia,4.4492656,-75.2475554
313367674,Bogotá Marriott,,,Colombia,4.6595407,-74.1085721
313845501,Hotel Sol Caribe Campo,,,Colombia,12.5383324,-81.7110694
313845537,Decameron San Luis,,,Colombia,12.5140088,-81.7150519
313846381,Marazul,,,Colombia,12.5579538,-81.7042373
317563526,Centro Vacacional La Maria,,,Colombia,4.9590628,-74.4332095
317888910,Hotel Tequendama,https://www.tequendamahotel.com/,,Colombia,4.6129145,-74.0705744
334407033,Hotel Andes Plaza,,,Colombia,4.6857884,-74.0481972
336522018,Koala Inn,,,Colombia,1.2125365,-77.2779897
339671075,Splendor,,,Colombia,4.1503511,-73.6367976
347801727,,,,Colombia,4.5355307,-75.6703562
356131190,Hotel Windsor House,,,Colombia,4.677651,-74.0440023
358110291,Hotel Nutibara,,,Colombia,6.2523954,-75.5672716
361325694,Radisson,,,Colombia,4.6917859,-74.035477
373583376,El Peñón,,,Colombia,4.3956135,-74.657844
373583581,Bonanza,,,Colombia,4.3850017,-74.6635518
385626394,Hotel Beldevere,,,Colombia,4.6859643,-74.0501146
416641976,Hotel Best Western Sky Medellín,https://www.skymedellin.com/,Medellín,Colombia,6.2087387,-75.5594486
420291649,Hotel Plaza 26,,,Colombia,4.6325602,-74.0857725
435208033,Posada Café la Huerta Restaurante,https://www.cafelahuerta.com,,Colombia,4.8354215,-73.8982947
455979575,Hotel Metropolis,,,Colombia,3.4162846,-76.5397724
459408225,Hotel Paraiso,,,Colombia,5.0070906,-73.4742135
469480799,,https://www.bogurbanhotel.com/,,Colombia,4.6325833,-74.0895936
471160734,El Viajero,,,Colombia,4.4385748,-75.2374245
471160906,Lusitania,,,Colombia,4.4408988,-75.2489999
479005918,Hotel El Príncipe,,,Colombia,8.2338001,-73.3551309
479006202,Hotel Real,,,Colombia,8.2348822,-73.352574
479006485,Hotel Plaza Real,,,Colombia,8.2358992,-73.3530902
481018951,Hotel San Felipe,,,Colombia,5.132529,-74.8983848
481018966,Los lagos,,,Colombia,5.1977887,-74.8760935
485367601,Río Claro,,,Colombia,5.9019469,-74.8566268
491835977,Casa Hotel Laureles,,,Colombia,6.2447062,-75.5932427
497398636,,,,Colombia,11.2028583,-74.2260198
505194441,Dinastia Real,,,Colombia,5.8264017,-73.0374594
529913978,,,,Colombia,5.5791032,-73.6465865
534495609,Hotel Central,,,Colombia,4.5274298,-73.922801
534495636,,,,Colombia,4.529432,-73.922389
534495895,,,,Colombia,4.5294063,-73.9203119
534495998,,,,Colombia,4.4817892,-73.9363022
560936476,Pachos Lagos,,,Colombia,5.0319673,-74.8925137
566891954,Tequendama Inn Santa Marta,,,Colombia,11.1696202,-74.232636
571728052,Real,,,Colombia,10.423042,-75.5458882
571821435,ArtHotel,,,Colombia,6.2094353,-75.5690601
575870097,Royal Bacarly,,,Colombia,6.4596565,-71.734482
575889881,Copetran,,,Colombia,6.957929,-71.8785109
577154646,Plaza Real Yopal,,,Colombia,5.3469656,-72.3976719
580919441,Tamacara,,,Colombia,6.4698046,-73.2616956
580920641,Bella Isla,,,Colombia,6.5498999,-73.124826
585184741,,,,Colombia,4.8180563,-73.6372421
587549058,Hotel Bolivar,,,Colombia,7.885041,-72.4861837
587592814,ATLANTIS HOTEL,,,Colombia,7.8881808,-72.5068762
587613216,Motel Complice,,,Colombia,7.867739,-72.4867427
587723358,Hotel Casa Blanca,,,Colombia,7.8821248,-72.5038182
587983337,Decameron,,,Colombia,11.092628,-74.2181435
589062822,Mendihuaca Beach Resort,,,Colombia,11.279983,-73.8709467
592876953,Motel Concorde,,,Colombia,7.924076,-72.5055773
595213315,,,,Colombia,5.066941,-73.8769881
598554890,Hotel Real,,,Colombia,5.5336043,-73.3656096
598572635,Hotel Plaza Muisca,,"Tunja, Boyacá, Colombia",Colombia,5.5376162,-73.3604758
599013682,Brisas del Norte,,,Colombia,11.5521086,-72.909651
599018720,Las Arenas,,,Colombia,11.5527792,-72.9072667
599020312,Ramson del Santuario,,,Colombia,11.4325805,-73.085871
601728468,,,,Colombia,4.8179385,-73.6374807
614219096,Hotel Don Saúl,,,Colombia,1.21337,-77.279148
614470001,Hotel Morasurco,,,Colombia,1.231344,-77.2841793
