id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
278454119,Rancho Suizo Hotel,,,Costa Rica,9.9586786,-85.6736065
278908607,Hotel Manatus,https://manatuscostarica.com,,Costa Rica,10.5624805,-83.5162983
360010114,Hotel Hacienda Guachipelín,,Curubandé,Costa Rica,10.7520777,-85.3796525
360248729,Finca Los Caballos,,,Costa Rica,9.6695211,-85.0731536
360263642,Hotel Flying Crocodile Lodge,http://www.flying-crocodile.com/de/,Sámara,Costa Rica,9.8847817,-85.56536
365314376,Termales del Bosque,,,Costa Rica,10.3633589,-84.3905543
367989605,Rinconcita Lodge,,,Costa Rica,10.7328634,-85.3010278
378608054,Hotel La Cascada,,,Costa Rica,9.6509225,-85.0695598
378731318,Dantica Lodge,,,Costa Rica,9.5834903,-83.7980213
382113798,El Encanto B&B,,,Costa Rica,9.7395042,-82.8454251
430957146,B&B Villa Pacandé,,San Isidro,Costa Rica,10.0476452,-84.2093747
431001121,Linda Vista del Norte,,,Costa Rica,10.4274099,-84.7462487
431001715,Essence Arenal Travellers & Backpackers Resort,,,Costa Rica,10.4211323,-84.7543482
440290838,Posada Andrea Cristina,,,Costa Rica,10.4536207,-84.0177597
440639690,Casa Marbella,,,Costa Rica,10.5424029,-83.5036586
440649601,Cabinas La Ranita Roja,,,Costa Rica,10.5386594,-83.5038845
440687355,Coco Loco Lodge,,,Costa Rica,9.6531516,-82.7544408
440837782,Secret Garden,,Cahuita,Costa Rica,9.7358162,-82.8403138
440837786,Natural Park,,,Costa Rica,9.7367156,-82.8391295
440845588,Bungalows Malú,,Cahuita,Costa Rica,9.7438703,-82.8544634
440849632,Bluspirit,,Cahuita,Costa Rica,9.7397666,-82.8446444
459837501,Arenal Springs Resort & Spa,,La Fortuna,Costa Rica,10.5022962,-84.6831049
475945403,Playa Negra Guesthouse,,Cahuita,Costa Rica,9.7412838,-82.8502625
566782925,Montezuma Pacific,,,Costa Rica,9.6557873,-85.0679678
602660481,Blue Dream,https://www.bluedreamhotel.com/,Puerto Soley,Costa Rica,11.0236632,-85.6879782
623418162,Adventure Inn Hotel,https://www.adventure-inn.com,,Costa Rica,9.9735425,-84.1509498
625714321,Hotel Grano de Oro,,Sabana Este,Costa Rica,9.9336053,-84.0931296
693740724,Mawamba Lodge,,,Costa Rica,10.5512771,-83.5074723
701330811,Hotel Miami,,Limón,Costa Rica,9.991712,-83.0293556
701330880,Hotel El Oriental,,Limón,Costa Rica,9.9933354,-83.0289477
701330885,Hotel El Nicaragüense,,Limón,Costa Rica,9.9927875,-83.0267424
765960490,Hotel y Mirador Pico Blanco,,,Costa Rica,9.8980759,-84.1277761
772628182,Sanchiri Lodge,,,Costa Rica,9.8172725,-83.8658882
777348524,Arenal Montechiari,https://www.hotelarenalmontechiari.com/,,Costa Rica,10.4780097,-84.6445833
790503650,Hotel & Spa Cibeles,,Santiago,Costa Rica,10.0078943,-84.1076266
792224644,Hotel Los Héroes,,Arenal,Costa Rica,10.4761056,-84.8305909
794609099,La Foresta Nature Resort,https://www.laforestahotel.com/,Quepos,Costa Rica,9.4402158,-84.136093
832255135,Orosi Lodge,https://www.orosilodge.com/,Orosi,Costa Rica,9.79399,-83.8561641
836037322,El Punto,https://www.elpuntohotel.com/,Liberia,Costa Rica,10.6249149,-85.4435774
837146650,Gilded Iguana Hotel,,,Costa Rica,9.9481309,-85.6693982
840628673,Cabinas La Montaña,,,Costa Rica,10.4611348,-84.2719981
840727004,Hacienda Pozo Azul,,,Costa Rica,10.3860618,-84.1397408
840865280,Hotel Centro Neotropico Sarapiqui,https://sarapiquis.com/,,Costa Rica,10.417107,-84.123118
842114438,Hotel la Tranquilidad,,Parrita,Costa Rica,9.4782081,-84.2667652
875220992,Hotel Viña Verde La Colina,,,Costa Rica,10.0710145,-84.4900625
875451951,Hotel San Isidro,,,Costa Rica,9.357286,-83.6852363
875453269,Hotel Montecito,,San Isidro de El General,Costa Rica,9.3674729,-83.6972849
875558955,Hotel Villa Wetss,,,Costa Rica,8.6063199,-83.127756
883971237,Hotel la Rivera,,,Costa Rica,9.9838263,-84.1867089
907208603,Hotel Ceciliano,,Quepos,Costa Rica,9.4294091,-84.1618019
907416055,Villa La Costa,,,Costa Rica,9.6070827,-84.6240381
962570226,Colours Oasis Resort Hotel,,Rohrmoser,Costa Rica,9.9476732,-84.130456
970419734,Cabinas Iguana,https://www.cabinas-iguana.com/,Cahuita,Costa Rica,9.7408165,-82.8517018
1022871163,Grandpas' Hotel,,Cot,Costa Rica,9.8905751,-83.8782778
1140976615,Monarch Resort,,Sardinal,Costa Rica,10.5898944,-85.664413
1140980130,Four Seasons Hotel,,,Costa Rica,10.6117498,-85.6886117
1154202708,,,,Costa Rica,11.0263983,-85.7042438
1156198665,Hotel Los Alemanes,,Carrillos,Costa Rica,10.0323531,-84.2681866
1158049612,Hotel Rancho Oropéndola,,,Costa Rica,9.9390749,-84.5299636
1176474318,Rancho Burica,,,Costa Rica,8.3474041,-83.1259007
1186330979,Cabinas Cristina,,,Costa Rica,9.7186069,-85.0187765
1186336382,Pacific Guesthouse,,,Costa Rica,9.7831084,-85.2537286
1186399996,Vista Golfo,,,Costa Rica,10.1312829,-84.7254554
1186415647,Cabinas Orchídea,,,Costa Rica,10.1714227,-84.6677735
1187585081,Cabinas Mary,,,Costa Rica,9.16696,-83.33177
1189460168,Hotel Punta Islita,,,Costa Rica,9.8574926,-85.4016489
1189472004,Hotel De Campo,https://kingfisherlodgecr.com/,,Costa Rica,10.8961303,-84.78698
1189472009,Albergue Cano Negro,,,Costa Rica,10.8932533,-84.7854501
1189834268,Heliconia Lodge,,Bijagua,Costa Rica,10.7134776,-85.0407418
1189860496,Rio Celeste Lodge,,,Costa Rica,10.7039836,-84.9772755
1212848013,Star Mountain Eco Resort Hotel,,Puntarenas,Costa Rica,9.6073177,-85.1227383
1212859608,Hotel La Hacienda,,,Costa Rica,9.6149,-85.14309
1212860852,Hotel Pachamama,,,Costa Rica,9.6158927,-85.1430779
1212862613,Hotel Vista de Olas,,,Costa Rica,9.6156855,-85.1412019
1212864361,Villas Monarca,,,Costa Rica,9.61817,-85.14443
