id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
260396364,Hotel Majoro,https://www.hotelmajoro.com/,,Perú,-14.8432721,-74.9724993
415164647,Hostal Quillabamba,,,Perú,-12.8658579,-72.6959075
419335237,DoubleTree by Hilton Iquitos,http://www.hiltonhotels.com/es_XM/peru/doubletree-by-hilton-hotel-iquitos/http://www.hiltonhotels.com/es_XM/peru/doubletree-by-hilton-hotel-iquitos/,Iquitos,Perú,-3.7488964,-73.2441428
427042698,Victoria Regia,http://www.victoriaregiahotel.com,Iquitos,Perú,-3.7535025,-73.2468912
443137483,Hostal Los Angeles,,,Perú,-16.2137795,-69.4594446
485321326,Hostal El,,,Perú,-3.6994816,-80.709344
485321722,Hotel Playa Lucero,,,Perú,-3.7032497,-80.7147162
491524558,,,,Perú,-13.5268197,-71.9840393
491524574,,,,Perú,-13.527045,-71.9844255
519537886,Hotel La Casona,,,Perú,-3.7483134,-73.2444087
559281074,Puerto Mirador,,,Perú,-6.0301722,-76.9621778
563951845,La Portada,,,Perú,-13.707727,-76.2052654
624864573,Alice,,,Perú,-12.0407293,-77.0894536
633524557,Hotel Las Orquideas,,,Perú,-6.2292636,-77.874921
633940911,Hostal Roma,,Cercado,Perú,-12.0455044,-77.0344162
633941394,Hostal Colonial,,,Perú,-8.1095693,-79.0275148
633941415,,,,Perú,-6.771575,-79.83562
633941522,Hostal el Jacal,,,Perú,-9.5300416,-77.5254715
633941531,Hospedaje Los Jasmines,,,Perú,-7.1570173,-78.5153985
698778298,Dolce Vita,,,Perú,-10.6033937,-75.4420604
775293025,La Casa de Melgar,,,Perú,-16.3961581,-71.5334186
775337402,El Albergue,,,Perú,-13.2627204,-72.2706097
775337403,Hotel San Agustin Monasterio de la Recoleta,,,Perú,-13.3096402,-72.1072671
775340610,Munay Tambo,,Puno,Perú,-15.8385082,-70.0285149
775343196,Hostal Porta,http://www.hostalporta.com/,Miraflores,Perú,-12.1280978,-77.0334144
775346022,Eureka,,,Perú,-13.5162098,-71.9737879
778164092,Centro Andinismo Renato Casarotto,,,Perú,-9.3211518,-77.605711
817079363,Hotel El Chileno,,San Juan de Lurigancho,Perú,-11.9899367,-77.0130305
818620945,Escorpio,,,Perú,-11.9955132,-77.0148343
836517800,Arqueólogo,,,Perú,-13.5137518,-71.9776978
872650768,Brisas de la Bahia,https://www.brisasdelabahia.com/,Paracas,Perú,-13.8318585,-76.2471451
872689782,Alto Tambopata Lodge,,,Perú,-12.9334506,-69.5216172
873662066,La Hosteria del Monasterio,,Pisco,Perú,-13.7093714,-76.2057197
873867952,La Casa de mi Abuela,http://www.lacasademiabuela.com/,Arequipa,Perú,-16.3928036,-71.5323731
873886561,Casa Andina Classic,https://www.casa-andina.com/peru/hotels/colca-hotels/classic-colca/hotel.php,,Perú,-15.6400521,-71.6025252
873886572,Pozo del Cielo,,,Perú,-15.6334057,-71.6058763
874303963,Taypicala Spa,,,Perú,-15.8919215,-69.8878718
874303995,Taypicala Lago,,,Perú,-15.8905819,-69.8870009
874430124,Amazon Hostal,,Cusco,Perú,-13.5138952,-71.9748301
874430134,Hosteria Hrumicchaca,,,Perú,-13.2962146,-72.1395219
874652767,Tres Chimbadas Lake Lodge,,,Perú,-12.7917272,-69.344338
874652770,Lodge,,,Perú,-12.8214548,-69.4358134
874652813,Tambopata Research Center,http://www.perunature.com/amazon_lodge/tambopata-research-center/,,Perú,-13.1341781,-69.6108367
874686657,Posada Amazonas Lodge,,,Perú,-12.8022929,-69.2998371
874825455,Cayman Lodge,,,Perú,-12.8548863,-69.359861
876002889,Casa Andina Standard – Miraflores San Antonio,https://www.casa-andina.com/destinos/miraflores/standard-miraflores-san-antonio/,Miraflores,Perú,-12.1302428,-77.0219279
908387493,Edwards Inn,,,Perú,-9.5281167,-77.5333503
911065441,Arequipa Inn,,,Perú,-16.3956339,-71.532431
911065443,,,,Perú,-16.3942887,-71.5317734
911547512,La Maison d'Elise,,Yanahuara,Perú,-16.3916769,-71.5396529
914162081,,,,Perú,-16.3958676,-71.524971
929727313,Apu Lodge,,,Perú,-13.2562583,-72.2618808
939682222,,,,Perú,-10.571867,-75.3952098
942768821,La Case Escondida,,,Perú,-13.5122186,-71.9788796
995445961,Posada del Inca,,,Perú,-13.5173877,-71.979517
995446009,Garcilaso,http://www.hotelesgarcilaso.com,,Perú,-13.5180778,-71.9809991
1011871972,Marcelino's Hotel,,,Perú,-13.5298974,-71.9329873
1012808407,Puerto Escondido,,,Perú,-10.7613702,-75.2711684
1016904534,Boutique Hotel La Molina,,,Perú,-12.0623599,-76.9480684
1064698214,El Refugio,,,Perú,-15.6525109,-71.6214497
1064725973,San Agustin,,,Perú,-16.3958182,-71.5363056
1301953852,Hostal Colibri,,,Perú,-3.7486294,-73.2429547
1312125381,Hospedaje Iñapari,,Iñapari,Perú,-10.9440555,-69.5762831
1347759171,Hospedaja Sixpak Manco,,,Perú,-13.1146129,-72.9369652
1373664230,Casona Lara Lodge,https://casonalara.com,Caraz,Perú,-9.0488975,-77.8141192
1413403655,Los Andes,,,Perú,-12.9616796,-76.1405132
1420503344,Hotel Casuarinas,,,Perú,-12.9624134,-76.1411541
1420503351,Hotel El Mirador,,,Perú,-12.9615251,-76.1414071
1428454141,Casa de los Cerezos,,,Perú,-13.5147142,-71.9743342
1428454142,Hospedaje Inka,,,Perú,-13.5143698,-71.9728127
1428454143,Hotel del Artesano,,,Perú,-13.5144855,-71.9734348
1431652604,Swissotel Lima,https://www.swissotellima.com.pe/,San Isidro,Perú,-12.0972483,-77.0381904
1519922746,Pisac Inn,https://pisacinn.com/,,Perú,-13.4212163,-71.8507451
1519938548,Hospedaje Casa Elena,https://www.casaelenacusco.com/,,Perú,-13.5150931,-71.9759416
1520463329,Hotel Hacienda Cantayo Spa & Resort,,,Perú,-14.8256548,-74.9149713
