id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
616038256,I.T.A,,,Uruguay,-34.906954,-56.191
807268183,Lafayette,http://www.lafayette.com.uy,Montevideo,Uruguay,-34.9078432,-56.1907174
876484372,Los Medanos,,San Gregorio de Polanco,Uruguay,-32.6157618,-55.8454326
886843917,Posada Biarritz,,,Uruguay,-34.7936976,-55.5086153
892722704,Cottage,,,Uruguay,-34.894051,-56.0599223
907509636,Cabañas Aldea Marina,,,Uruguay,-34.7970368,-55.4956012
907509645,Cabañas Sierras del Mar,,,Uruguay,-34.7973099,-55.4908055
907509652,Parador y Cabañas Villa Natura,,,Uruguay,-34.7915566,-55.4919856
907511891,Hotel Campo,,,Uruguay,-34.7975037,-55.4958909
907514930,,,,Uruguay,-34.7911601,-55.4991095
918873087,Regency Suites,,Montevideo,Uruguay,-34.8895158,-56.0575754
944054070,Puerto Mercado Hotel,http://puertomercadohotel.com.uy/es/,Montevideo,Uruguay,-34.9066767,-56.2106948
944824860,Quijano Hotel,https://www.hotelquijano.com,Montevideo,Uruguay,-34.9070409,-56.1890778
1167139189,Radisson Montevideo Victoria Plaza Hotel,https://www.radisson.com/montevideo-hotel-uy-11100/urumont,Montevideo,Uruguay,-34.9058186,-56.1995694
1288074472,Hotel Bahia,,,Uruguay,-34.6633673,-54.1542306
1288074575,,,,Uruguay,-34.6611346,-54.1554644
1369468403,Villaggio Guaviyú,,,Uruguay,-31.8398839,-57.8853426
1426717729,Cala di Volpe,https://www.hotelcaladivolpe.com.uy/,Montevideo,Uruguay,-34.9265234,-56.1574354
1580063508,Arapey Thermal,,,Uruguay,-30.9441924,-57.5184618
1733643491,Hostal del Jardin,,,Uruguay,-31.3872746,-57.9722997
1870443527,Parque de Vacaciones UTE-ANTEL,,,Uruguay,-34.425221,-55.1938059
1872991793,,,,Uruguay,-32.3592831,-57.2688384
1953685919,Hotel Real,,,Uruguay,-34.0987763,-56.2152491
1953685931,Hotel Español,,,Uruguay,-34.0970328,-56.2142996
2027232640,Casa Chic Carmelo,,,Uruguay,-33.9200433,-58.4028465
2043785939,San Fernando,,,Uruguay,-34.9582658,-54.9418707
2049673005,Terrazas de la Viuda,http://www.terrazasdelaviuda.com,Punta del Diablo,Uruguay,-34.0499927,-53.5475135
2063079010,Posada del Siglo XIX,https://www.posadasigloxix.com.uy/,,Uruguay,-31.4480278,-57.9127318
2063079012,Hostal Canela,,,Uruguay,-31.4455565,-57.915823
2063079017,Solanas Resort & Spa,,Termas del Daymán,Uruguay,-31.4462264,-57.9107189
