id_hotel,nombre,suburbio,barrio,ciudad,ciudad_geopy,estado,region,pais,codigo_postal,latitud,longitud,direccion_formateada,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10,dominio_1,dominio_2,dominio_3,dominio_4,dominio_5,dominio_6,dominio_7,dominio_8,dominio_9,dominio_10,geosource,fuente_geodata
253251479,Hotel Summerville,Muro Alto,,,Ipojuca,Pernambuco,Región Nordeste,Brasil,55592-000,-8.4354287,-34.9809079,"Hotel Summerville, Acesso para Praia de Muro Alto e Camboa, Summerville Beach Resort, Muro Alto, Nossa Senhora do Ó, Ipojuca, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Región Nordeste, 55592-000, Brasil",,,,,,,,,,,,,,,,,,,,,geopy,geopy
253251551,Marupiara,Muro Alto,,,Ipojuca,Pernambuco,Northeast Region,Brasil,55592-000,-8.4312949,-34.9814223,"Marupiara, Acesso para Praia de Muro Alto e Camboa, Nannai Resort & Spa, Muro Alto, Nossa Senhora do Ó, Ipojuca, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Northeast Region, 55592-000, Brazil",https://www.booking.com/hotel/br/marupiara-porto-de-galinhas.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
253251562,Nannai Resort & Spa,Muro Alto,,,Ipojuca,Pernambuco,Northeast Region,Brasil,55592-000,-8.4325399,-34.9805186,"Nannai Resort & Spa, Acesso para Praia de Muro Alto e Camboa, Nannai Resort & Spa, Muro Alto, Nossa Senhora do Ó, Ipojuca, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Northeast Region, 55592-000, Brazil",https://www.booking.com/hotel/br/nannai-resort-amp-spa.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
253271848,Portal Atlantico,Cupe,,,Ipojuca,Pernambuco,Northeast Region,Brasil,55590-000,-8.4775277,-34.9989292,"Portal Atlantico, Rodovia Wilson Campos Junior, Cupe, Nossa Senhora do Ó, Ipojuca, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Northeast Region, 55590-000, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
253406764,Praia do Futuro,Praia do Futuro I,,,Fortaleza,Ceará,Northeast Region,Brasil,60182-418,-3.7327552,-38.4583392,"Praia do Futuro, Avenida Dioguinho, Praia do Futuro I, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Northeast Region, 60182-418, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
259796163,Solar do Caeté,,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0572828,-46.7624438,"Solar do Caeté, Rua Pinheri Júnior, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://melhorespousadas.tur.br/pa/braganca/hotel-solar-do-caete,,,,,,,,,,melhorespousadas.tur.br,,,,,,,,,,geopy,
259796165,Hotel Aruans,Perpétuo Socorro,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0565336,-46.7633948,"Hotel Aruans, Rua General Curjão, Perpétuo Socorro, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://www.booking.com/hotel/br/pousada-aruans-casarao.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
259796166,Hotel Delta,,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0573283,-46.7642715,"Hotel Delta, Travessa Cônego Miguel, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://deltarioparnaiba.com.br/hotel-delta/,,,,,,,,,,deltarioparnaiba.com.br,,,,,,,,,,geopy,
259796167,Bragança Palace Hotel,Perpétuo Socorro,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0549047,-46.7650211,"Bragança Palace Hotel, Travessa João XXIII, Perpétuo Socorro, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://www.booking.com/hotel/br/braganca-palace-braganca.pt-pt.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
259796169,Marujo's Suite Hotel,Perpétuo Socorro,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0559409,-46.7675526,"Marujo's Suite Hotel, Rua Conselheiro João Alfredo, Perpétuo Socorro, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://hotel-marujos-suite.hoteis-nortedobrasil.com/,,,,,,,,,,hotel-marujos-suite.hoteis-nortedobrasil.com,,,,,,,,,,geopy,
259796170,Hotel Millenyum,Morro,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0591565,-46.7682986,"Hotel Millenyum, Rua Cônego Clementino, Morro, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://www.booking.com/hotel/br/manaus-hoteis-millennium.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
260585942,Lucian Apart Hotel,Morro,,,Bragança,Pará,North Region,Brasil,68600-000,-1.0581674,-46.7658589,"Lucian Apart Hotel, Avenida Nazeazeno Ferreira, Morro, Bragança, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68600-000, Brazil",https://guiafacil.com/site/lucian-apart-hotel/braganca/pa/9134252812,,,,,,,,,,guiafacil.com,,,,,,,,,,geopy,
270342692,Ibis,Centro Cívico,,Curitiba,Curitiba,Paraná,South Region,Brasil,80510-190,-25.4244592,-49.2711819,"Ibis, 358, Rua Mateus Leme, Centro Cívico, Curitiba, Região Geográfica Imediata de Curitiba, Região Metropolitana de Curitiba, Região Geográfica Intermediária de Curitiba, Paraná, South Region, 80510-190, Brazil",https://ibis.accor.com/pt-br/destination/city/hotels-curitiba-v6092.html,,,,,,,,,,ibis.accor.com,,,,,,,,,,geopy,
