id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
253251479,Hotel Summerville,,,Brasil,-8.4354287,-34.9809079
253251551,Marupiara,https://www.booking.com/hotel/br/marupiara-porto-de-galinhas.pt-br.html,,Brasil,-8.4312949,-34.9814223
253251562,Nannai Resort & Spa,https://www.booking.com/hotel/br/nannai-resort-amp-spa.html,,Brasil,-8.4325399,-34.9805186
253271848,Portal Atlantico,,,Brasil,-8.4775277,-34.9989292
253406764,Praia do Futuro,,,Brasil,-3.7327552,-38.4583392
259796163,Solar do Caeté,https://melhorespousadas.tur.br/pa/braganca/hotel-solar-do-caete,,Brasil,-1.0572828,-46.7624438
259796165,Hotel Aruans,https://www.booking.com/hotel/br/pousada-aruans-casarao.pt-br.html,,Brasil,-1.0565336,-46.7633948
259796166,Hotel Delta,https://deltarioparnaiba.com.br/hotel-delta/,,Brasil,-1.0573283,-46.7642715
259796167,Bragança Palace Hotel,https://www.booking.com/hotel/br/braganca-palace-braganca.pt-pt.html,,Brasil,-1.0549047,-46.7650211
259796169,Marujo's Suite Hotel,https://hotel-marujos-suite.hoteis-nortedobrasil.com/,,Brasil,-1.0559409,-46.7675526
259796170,Hotel Millenyum,https://www.booking.com/hotel/br/manaus-hoteis-millennium.pt-br.html,,Brasil,-1.0591565,-46.7682986
260585942,Lucian Apart Hotel,https://guiafacil.com/site/lucian-apart-hotel/braganca/pa/9134252812,,Brasil,-1.0581674,-46.7658589
270342692,Ibis,https://ibis.accor.com/pt-br/destination/city/hotels-curitiba-v6092.html,Curitiba,Brasil,-25.4244592,-49.2711819
282383817,Grande Hotel Minas Gerais,https://www.booking.com/hotel/br/grande-minas-gerais-guacui.pt-br.html,Guaçuí,Brasil,-20.7729961,-41.6768349
297295195,Hotel e Restaurante Moura,https://www.hotelmoura.com.br/restaurante,,Brasil,-1.1560058,-46.3537058
311245596,Pousada e Restaurante Vista Linda,,Domingos Martins,Brasil,-20.3818899,-40.6052022
315623285,,,,Brasil,-20.8413218,-41.1230427
320548710,Lord Hotel,https://lordhotelcascavel.com.br/,,Brasil,-2.5288192,-44.3045866
321706825,Pousada Lapa Grande,https://www.booking.com/hotel/br/pousada-lapa-grande.html,,Brasil,-19.3487864,-43.6411433
322322649,Pousada Varandas da Serra,https://www.booking.com/hotel/br/varandas-da-serra.pt-br.html,,Brasil,-19.3207149,-43.6099317
322323100,Pousada Entre Folhas,https://www.booking.com/hotel/br/pousada-entre-folhas-serra-do-cipo.pt-br.html,,Brasil,-19.3215874,-43.6117285
322323159,Pouso Cipó,,,Brasil,-19.3236384,-43.6135738
322323185,Pousada Villa Verde Chalés,,,Brasil,-19.3284606,-43.6158838
322323326,Pousada Ecobamboo,,,Brasil,-19.3307563,-43.6193149
322535317,Pousada Vilarejo da Serra,https://pousada-vilarejo-da-serra.minas-gerais-hotels.com/pt/,,Brasil,-19.3203462,-43.6098095
322535352,Pousada Fazenda do Engenho,https://www.booking.com/hotel/br/pousada-fazenda-do-engenho.pt-br.html,,Brasil,-19.3387484,-43.6077927
322535806,Pousada Renascer,https://www.booking.com/hotel/br/pousada-da-cachoeira-araras.pt-br.html,,Brasil,-19.3361897,-43.6222754
322535809,Pousada Village da Serra,https://www.booking.com/hotel/br/pousada-village-da-serra-santana-do-riacho.html,,Brasil,-19.331857,-43.6193657
322536311,Pousada Mangueira,https://www.booking.com/hotel/br/pousada-da-mangueira.pt-br.html,,Brasil,-19.333052,-43.6214535
322536323,Pousada Recanto da Serra,https://www.booking.com/hotel/br/pousada-recanto-da-serra-santana-do-riacho.pt-br.html,,Brasil,-19.3339815,-43.6209962
322536598,Pousada Bela Vista,,,Brasil,-19.3376463,-43.6323557
322551701,Pousada Adega Cipó,https://www.booking.com/hotel/br/pousada-adega-cipo-santana-do-riacho.html,,Brasil,-19.3371586,-43.6264022
