lodging_id,street,housenumber,city,state,postcode,full_address
node:245789465,,,,,,
node:245842371,,,,,,
node:276126136,Avenida Paseo Xaman-Ha,Ha Mz20 Lt1,Playa del Carmen,,77710,
node:276126411,,,,,,
node:276198795,,,,,,
node:276201829,,,,,,
node:290904557,,,,,,
node:291425189,,,,,,
node:292271816,,,,,,
node:297648577,,,,,,
node:297648710,,,,,,
node:297860708,Calle 60,488,Mérida,YUC,,
node:297860850,Calle 59,535,Mérida,YUC,97000,
node:297861165,Calle 57,513,Mérida,YUC,97000,
node:298252319,,,,,,
node:298252320,,,,,,
node:302108805,,,,,,
node:311384274,,,,,,
node:313597328,,,,,,
node:313597480,,,,,,
node:313597949,,,,,,
node:313598372,,,,,,
node:323076883,Avenida Benito Juárez,1530,San Luis Potosí,,78399,
node:335889220,Calzada Porfirio Díaz,102,Oaxaca de Juárez,,68050,
node:336176762,,,,,,
node:336188795,,,,,,
node:336188798,,,,,,
node:336188837,,,,,,
node:336188845,Domicilio Conocido,SN,Yécora,,85780,
node:336188982,,,,,,
node:336189671,,,,,,
node:345753093,"Av. Cocoteros, 98 Sur",,Nuevo Vallarta,,63735,
node:345754123,,,,,,
node:348766461,,,,,,
node:348767456,,,,,,
node:353139213,,,,,,
node:353139214,,,,,,
node:353139256,,,,,,
node:355317485,,,,,,
node:364545395,,,,,,
node:364859737,,,,,,
node:365296637,,,,,,
node:368844891,,,,,,
node:368897585,,,,,,
node:368897693,,,,,,
node:368940932,,,,,,
node:368940949,,,,,,
node:368940974,,,,,,
node:371668302,,,,,,
node:371718624,,,,,,
node:371718644,Olas Atlas,11,Mazatlán,SIN,82000,
node:371787609,Avenida Playa Gaviotas,202,Mazatlán,,82110,
node:385036204,,,,,,
node:385565078,,,,,,
node:386910551,,,,,,
node:387945195,,,,,,
node:388181149,,,,,,
node:388350577,,,,,,
node:388350615,,,,,,
node:388651468,,,,,,
node:401626508,,,,,,
node:439516144,,,,,,
node:439517526,,,,,,
node:441399127,,,,,,
node:441716579,,,,,,
node:442773535,Calle 39,203,,YUC,97780,
node:443495240,,,,,,
node:458627224,,,,,,
node:470069060,,,,,,
node:471091193,,,,,,
node:473037880,Avenida de Parque,24,Mexico City,,03810,
node:473037886,,,,,,
node:473196185,,,,,,
node:473521397,,,,,,
node:474757694,Calle José Martí,178,Ciudad de México,,11800,
node:475179935,,,,,,
node:484177830,Plaza Necaxa,17,Ciudad de México,,06500,
node:499424127,Boulevard Adolfo Ruiz Cortines,4298,Boca del Río,,94299,
node:499424203,Boulevard Adolfo Ruiz Cortines,3495,Boca del Rio,,94294,
node:499838608,Av. Díaz Mirón,1612,Veracruz,,91910,
node:499838616,Calzada Ruiz Cortinez,486,Boca del Rio,,94294,
node:499838621,Blvd Adolfo Ruiz Cortinez,258,Boca del Rio,,94294,
node:516827454,,,,,,
node:559360713,,,,,,
node:569856752,,,,,,
node:572678500,,,,,,
node:575120501,,,,,,
node:603127095,,,,,,
node:604986452,,,,,,
node:612524830,,,,,,
node:613858976,,,,,,
node:613891254,20 de Noviembre,811,Durango,,34000,
node:633184622,,,,,,
node:633184647,,,,,,
node:633184672,,,,,,
node:633184686,Calle 12,93-A,Celestun,YUC,97367,
node:633184692,,,,,,
node:633184693,,,,,,
node:633442354,Avenida Adolfo López Mateos,177,Campeche,,24040,
node:633442371,,,,,,
node:633593570,Calle 12,189,Campeche,,24000,
node:634482010,,,,,,
node:634482042,,,,,,
node:634783367,,,,,,
node:634786498,,,,,,
