lodging_id,phone,email,facebook,instagram,whatsapp
node:245789465,,,,,
node:245842371,,,,,
node:276126136,+52 984 877 4220,hotel.lupita@riu.com,https://www.facebook.com/HotelRiuLupita/,,
node:276126411,,,,,
node:276198795,,,,,
node:276201829,,,,,
node:290904557,,,,,
node:291425189,,,,,
node:292271816,,,,,
node:297648577,,,,,
node:297648710,,,,,
node:297860708,+52 999 924 8844,info@casadelbalam.com,https://www.facebook.com/casadelbalam,,
node:297860850,+52 999 930 4141,ventas@gobernadormerida.com.mx,,,
node:297861165,+52 999 930 0100,,,,
node:298252319,,,,,
node:298252320,,,,,
node:302108805,,,,,
node:311384274,,,,,
node:313597328,,,,,
node:313597480,,,,,
node:313597949,,,,,
node:313598372,,,,,
node:323076883,,,,,
node:335889220,+52 951 502 0100,reservaciones@misiondelosangeles.com,,,
node:336176762,,,,,
node:336188795,,,,,
node:336188798,,,,,
node:336188837,,,,,
node:336188845,+521 642 482 1972,,,,
node:336188982,,,,,
node:336189671,,,,,
node:345753093,+52-322-226-8677,,,,
node:345754123,,,,,
node:348766461,,,,,
node:348767456,,,,,
node:353139213,,,,,
node:353139214,,,,,
node:353139256,,,,,
node:355317485,(949) 289-7779,baja@solosports.net,,,
node:364545395,,,,,
node:364859737,,,,,
node:365296637,,,,,
node:368844891,,,,,
node:368897585,,,,,
node:368897693,,,,,
node:368940932,,,,,
node:368940949,,,,,
node:368940974,,,,,
node:371668302,,,,,
node:371718624,,,,,
node:371718644,+1 669 982 2631,info@lasiesta.com.mx,,,
node:371787609,+52 800 716 9567,,,,
node:385036204,,,,,
node:385565078,,,,,
node:386910551,,,,,
node:387945195,,,,,
node:388181149,,,,,
node:388350577,,,,,
node:388350615,,,,,
node:388651468,,,,,
node:401626508,+52 987 872 0730,info@villablanca.net,,,
node:439516144,,,,,
node:439517526,,,,,
node:441399127,,,,,
node:441716579,,,,,
node:442773535,+52 1 985 856 2073; +52 1 985 856 3042; +52 1 985 856 3571,reservaciones@mesondelmarques.com,https://www.facebook.com/HotelElMesondelMarques,,
node:443495240,,,,,
node:458627224,,,,,
node:470069060,,,,,
node:471091193,,,,,
node:473037880,55 5687 3839,wtc@flowsuites.com,,,
node:473037886,,,,,
node:473196185,,,,,
node:473521397,,,,,
node:474757694,5555151299,,,,
node:475179935,,,,,
node:484177830,+525519487806,,,,
node:499424127,+52 229 9233233,sgarcia@hinnver.com.mx,,,
node:499424203,+52 229 989 0505,galeriaplaza.veracruz@brisas.com.mx,,,
node:499838608,(+52) 229 9 37 22 22,reservaciones@hotelcentralveracruz.com,,,
node:499838616,(+52) 229 9 23 2290,reservaciones@hotelrivoli.com,,,
node:499838621,+52 (229) 922.48.28,reservahotelbello@gmail.com,,,
node:516827454,,,,,
node:559360713,,,,,
node:569856752,,,,,
node:572678500,,,,,
node:575120501,,,,,
node:603127095,,,,,
node:604986452,,,,,
node:612524830,,,,,
node:613858976,,,,,
node:613891254,,,,,
node:633184622,,,,,
node:633184647,,,,,
node:633184672,,,,,
node:633184686,,,,,
node:633184692,,,,,
node:633184693,,,,,
node:633442354,+52 981 127 1681,,,,
node:633442371,,,,,
node:633593570,,,,,
node:634482010,,,,,
node:634482042,,,,,
node:634783367,,,,,
node:634786498,,,,,
node:634791341,,,,,
node:642557672,+52 1 985 856 3472; +52 1 985 856 3473,ventas_quintaregia@outlook.com,https://www.facebook.com/EcotelQuintaRegiaMX/,,
node:642709038,,,,,
node:643968601,,,,,
