pais,total_hoteles,con_nombre,con_url,con_ciudad,porcentaje_nombre,porcentaje_url,porcentaje_ciudad
Brasil,6496,6034,877,1508,0.93,0.14,0.23
Chile,1358,1326,159,372,0.98,0.12,0.27
Panamá,273,259,40,45,0.95,0.15,0.16
Uruguay,400,348,110,178,0.87,0.28,0.44
Nicaragua,621,595,113,85,0.96,0.18,0.14
Costa Rica,1767,1728,335,1087,0.98,0.19,0.62
República Dominicana,426,398,64,53,0.93,0.15,0.12
Ecuador,2046,1972,229,175,0.96,0.11,0.09
El Salvador,258,237,36,47,0.92,0.14,0.18
México,5755,5390,1483,1877,0.94,0.26,0.33
Argentina,4388,4184,870,1740,0.95,0.2,0.4
Venezuela,777,749,45,222,0.96,0.06,0.29
Colombia,3965,3704,330,647,0.93,0.08,0.16
Bolivia,1014,930,79,251,0.92,0.08,0.25
Guatemala,799,710,49,48,0.89,0.06,0.06
Perú,2755,2527,303,377,0.92,0.11,0.14
Honduras,304,271,22,31,0.89,0.07,0.1
Cuba,477,444,81,65,0.93,0.17,0.14
